store_id,item_number,ordering_day,delivery_day,purchase_price,suggested_retail_price,profit_margin,tags,category
store_a,1039,2024-07-20,2024-07-22,0.97,1.82,0.471,,Vegetables
store_a,1013,2024-10-19,2024-10-21,0.37,0.67,0.4878,,Fruits
store_b,1016,2024-12-09,2024-12-10,0.73,1.47,0.5149,,Fruits
store_b,1017,2024-04-08,2024-04-09,1.42,2.46,0.4531,,Fruits
store_a,1099,2024-10-26,2024-10-28,1.35,2.56,0.4287,,Fruits
store_b,1028,2024-09-13,2024-09-14,0.29,0.6,0.5082,,Vegetables
store_a,1046,2024-04-08,2024-04-09,0.6,1.1,0.4546,,Vegetables
store_a,1015,2024-09-24,2024-09-25,1.15,2.34,0.4536,,Fruits
store_a,1025,2024-01-30,2024-01-31,2.0,3.89,0.4906,,Fruits
store_a,1043,2024-02-15,2024-02-16,0.63,1.22,0.4511,,Vegetables
store_b,1017,2024-01-18,2024-01-19,1.46,2.45,0.4352,,Fruits
store_a,1023,2024-08-07,2024-08-08,1.95,3.54,0.4589,,Fruits
store_a,1036,2024-01-19,2024-01-20,0.53,0.99,0.4453,,Vegetables
store_a,1041,2024-01-26,2024-01-27,2.57,4.58,0.4461,,Vegetables
store_b,1011,2024-01-18,2024-01-19,2.24,3.97,0.4618,,Fruits
store_b,1022,2024-04-10,2024-04-11,1.74,3.32,0.4402,,Fruits
store_a,1036,2024-06-05,2024-06-06,0.56,1.01,0.4491,,Vegetables
store_b,1016,2024-09-03,2024-09-04,0.75,1.5,0.5055,,Fruits
store_a,1040,2024-03-01,2024-03-02,0.67,1.27,0.4609,,Vegetables
store_a,1037,2024-07-15,2024-07-16,0.25,0.5,0.4845,,Vegetables
store_b,1002,2024-03-29,2024-03-30,1.17,1.98,0.3844,,Fruits
store_a,1010,2024-06-12,2024-06-13,1.81,3.42,0.4957,,Fruits
store_b,1030,2024-12-28,2024-12-30,,1.0,,,Vegetables
store_a,1099,2024-01-13,2024-01-15,1.41,2.46,0.4514,,Fruits,
store_a,1015,2024-07-12,2024-07-13,1.18,2.35,0.477,new,Fruits
store_a,1050,2024-02-13,2024-02-14,1.17,2.3,0.4545,,vegetables
store_a,1040,2024-04-08,2024-04-09,0.71,1.26,0.4592,,Vegetables
store_a,1043,2024-06-21,2024-06-22,0.64,1.16,0.4742,,Vegetables
store_b,1023,2024-01-09,2024-01-10,1.95,3.49,0.4489,,Fruits
store_a,1044,2024-01-13,2024-01-15,0.57,1.01,0.4579,,Vegetables
store_a,1007,2024-06-14,2024-06-15,1.29,2.5,0.4984,,Fruits
store_b,1015,2024-01-06,2024-01-08,1.14,2.26,0.4969,,Fruits
store_a,1039,2024-05-29,2024-05-30,0.92,1.77,0.4617,,Vegetables
store_a,1019,2024-09-27,2024-09-28,,1.85,,,Fruits
store_a,1025,2024-10-31,2024-11-01,2.09,3.87,0.4643,,Fruits
store_b,1022,2024-12-13,2024-12-14,1.71,3.33,0.4669,,FRUITS
store_a,1044,2024-09-28,2024-09-30,0.56,1.02,0.4611,,Vegetables
store_b,1017,2024-05-25,2024-05-27,1.39,2.48,0.4274,,Fruits
store_a,1099,2024-07-20,2024-07-22,1.46,2.49,0.4307,,Fruits
store_a,1001,2024-05-03,2024-05-04,0.87,1.52,0.4159,,Fruits
store_b,1006,2024-07-27,2024-07-29,0.83,1.32,0.396,,Fruits
store_a,1048,2024-09-13,2024-09-14,0.52,1.01,0.4734,,Vegetables
store_b,1027,2024-03-14,2024-03-15,0.88,1.71,0.4895,,Vegetables
store_a,1015,2024-12-25,2024-12-26,1.21,2.3,0.489,,Fruits
store_a,1042,2024-03-04,2024-03-05,0.41,0.78,0.4973,,Vegetables
store_a,1007,2024-01-27,2024-01-29,1.25,2.42,0.4566,,Fruits
store_b,1013,2024-08-23,2024-08-24,0.35,0.68,0.4746,,Fruits
store_b,1013,2024-09-25,2024-09-26,0.36,0.68,0.5144,,Fruits
store_a,1016,2024-09-12,2024-09-13,0.77,1.46,0.4885,,Fruits
store_a,1042,2024-02-10,2024-02-12,0.4,0.79,0.4738,,Vegetables
store_b,1009,2024-10-09,2024-10-10,0.69,1.18,0.4072,,Fruits
store_a,1028,2024-03-30,2024-04-01,0.3,0.6,0.4844,,Vegetables
store_a,1017,2024-06-15,2024-06-17,1.36,2.56,0.4532,,Fruits
store_b,1003,2024-12-11,2024-12-12,0.98,1.79,0.4799,,Fruits
store_b,1025,2024-11-28,2024-11-29,2.07,3.9,0.4942,,Fruits
store_a,1009,2024-04-27,2024-04-29,0.68,1.19,0.3997,,Fruits
store_b,1014,2024-11-14,2024-11-15,0.91,1.57,0.4162,,Fruits
store_a,1009,2024-12-25,2024-12-26,0.68,1.17,0.3913,,Fruits
store_b,1010,2024-05-07,2024-05-08,1.87,3.46,0.4729,,Fruits
store_a,1021,2024-12-07,2024-12-09,0.67,1.16,0.4526,,Fruits
store_a,1030,2024-07-12,2024-07-13,0.62,0.99,0.3983,,Vegetables
store_b,1013,2024-02-05,2024-02-06,0.34,0.69,0.4771,,Fruits
store_b,1022,2024-05-24,2024-05-25,1.73,3.28,0.4698,,Fruits
store_b,1006,2024-12-03,2024-12-04,0.79,1.3,0.3956,,Fruits
store_b,1021,2024-04-03,2024-04-04,0.66,1.21,0.4562,,Fruits
store_a,1031,2024-11-23,2024-11-25,0.75,1.46,0.5178,,Vegetables
store_b,1001,2024-03-13,2024-03-14,0.87,1.5,0.4208,,Fruits
store_b,1014,2024-11-30,2024-12-02,0.94,1.56,0.4312,,Fruits
store_a,1034,2024-08-12,2024-08-13,0.81,1.6,0.4423,,Vegetables
store_b,1025,2024-09-17,2024-09-18,2.05,3.75,0.4639,,Fruits
store_b,1024,2024-01-08,2024-01-09,,2.44,,,Fruits
store_b,1027,2024-02-19,2024-02-20,0.94,1.64,0.49,,Vegetables
store_b,1023,2024-10-24,2024-10-25,1.86,3.56,0.4585,,Fruits
store_b,1027,2024-03-23,2024-03-25,0.86,1.73,0.4441,,Vegetables
store_a,1010,2024-02-16,2024-02-17,1.79,3.5,0.4812,,Fruits
store_a,1033,2024-12-06,2024-12-07,1.03,2.03,0.4739,,Vegetables
store_b,1002,2024-06-20,2024-06-21,1.14,2.0,0.4147,,Fruits
store_a,1039,2024-11-27,2024-11-28,0.92,1.82,0.4524,,Vegetables
store_a,1023,2024-08-02,2024-08-03,1.9,3.5,0.4483,,Fruits
store_b,1023,2024-01-01,2024-01-02,1.87,3.42,0.4636,,Fruits
store_b,1005,2024-10-22,2024-10-23,1.14,2.42,0.5304,,Fruits
store_a,1019,2024-10-30,2024-10-31,1.05,1.85,0.4783,,Fruits
store_b,1009,2024-07-01,2024-07-02,0.73,1.18,0.4193,,Fruits
store_b,1020,2024-09-11,2024-09-12,1.56,2.83,0.4502,,Fruits
store_b,1015,2024-10-12,2024-10-14,1.17,2.28,0.4992,,Fruits
store_a,1010,2024-09-30,2024-10-01,1.76,3.46,0.4629,,Fruits
store_a,1017,2024-02-19,2024-02-20,1.42,2.49,0.4415,,Fruits
store_a,1037,2024-05-01,2024-05-02,0.26,0.49,0.5139,,vegetables
store_a,1043,2024-04-18,2024-04-19,0.67,1.18,0.4596,,Vegetables
store_b,1019,2024-03-18,2024-03-19,1.0,1.87,0.4874,,Fruits
store_a,1046,2024-09-09,2024-09-10,0.63,1.08,0.433,,Vegetables
store_a,1008,2024-03-27,2024-03-28,1.43,2.72,0.5009,on_sale,Fruits
store_b,1011,2024-12-25,2024-12-26,2.1,3.87,0.4336,,Fruits
store_a,1016,2024-01-26,2024-01-27,0.78,1.49,0.4964,,Fruits
store_a,1050,2024-11-16,2024-11-18,1.25,2.26,0.4803,,Vegetables
store_b,1007,2024-08-26,2024-08-27,1.24,2.48,0.4619,,Fruits
store_b,1014,2024-01-25,2024-01-26,,1.57,,,Fruits
store_a,1014,2024-11-04,2024-11-05,0.88,1.59,0.449,,Fruits
store_a,1021,2024-09-27,2024-09-28,0.66,1.17,0.4732,,Fruits
store_b,1004,2024-05-20,2024-05-21,1.53,3.04,0.5039,,Fruits
store_a,1099,2024-08-09,2024-08-10,1.37,2.46,0.4309,,Fruits
store_b,1018,2024-02-20,2024-02-21,2.48,4.36,0.4231,,Fruits
store_b,1022,2024-11-02,2024-11-04,1.79,3.35,0.4722,,Fruits
store_b,1002,2024-10-18,2024-10-19,1.23,2.05,0.388,,Fruits
store_a,1011,2024-03-29,2024-03-30,2.12,3.9,0.4636,,Fruits
store_b,1015,2024-01-17,2024-01-18,1.15,2.34,0.4659,,Fruits
store_a,1024,2024-07-05,2024-07-06,1.26,2.47,0.4551,,Fruits
store_b,1021,2024-01-23,2024-01-24,0.66,1.16,0.4633,,Fruits
store_a,1013,2024-02-02,2024-02-03,0.35,0.68,0.4931,,Fruits
store_a,1049,2024-05-15,2024-05-16,0.45,0.88,0.5009,,Vegetables
store_a,1034,2024-07-26,2024-07-27,0.85,1.56,0.4476,,Vegetables
store_b,1021,2024-12-02,2024-12-03,0.65,1.2,0.4751,,fruits
store_b,1019,2024-09-02,2024-09-03,1.02,1.87,0.4707,,Fruits
store_a,1002,2024-08-08,2024-08-09,1.24,1.96,0.3868,,Fruits
store_a,1041,2024-12-05,2024-12-06,2.58,4.61,0.4621,,Vegetables
store_b,1012,2024-04-04,2024-04-05,1.54,3.07,0.4782,,Fruits
store_a,1030,2024-01-26,2024-01-27,0.63,0.97,0.3913,,Vegetables
store_b,1013,2024-08-14,2024-08-15,0.34,0.68,0.4768,,Fruits
store_a,1005,2024-01-02,2024-01-03,1.13,2.49,0.535,,Fruits
store_a,1018,2024-04-29,2024-04-30,2.52,4.41,0.4329,,Fruits
store_a,1023,2024-03-09,2024-03-11,1.88,3.48,0.4361,,fruits
store_b,1020,2024-10-01,2024-10-02,1.52,2.76,0.4834,,Fruits
store_a,1043,2024-05-20,2024-05-21,0.62,1.18,0.4437,,Vegetables
store_b,1001,2024-09-12,2024-09-13,0.93,1.45,0.4084,,Fruits
store_b,1017,2024-04-27,2024-04-29,1.42,2.5,0.4527,,Fruits
store_b,1005,2024-12-23,2024-12-24,1.13,2.51,0.568,,Fruits
store_a,1014,2024-05-03,2024-05-04,0.88,1.55,0.4549,,Fruits
store_b,1009,2024-01-01,2024-01-02,0.7,1.17,0.4044,,Fruits
store_a,1024,2024-03-11,2024-03-12,1.36,2.56,0.4958,,Fruits
store_a,1028,2024-06-12,2024-06-13,0.31,0.6,0.4925,,Vegetables
store_a,1044,2024-11-15,2024-11-16,0.54,1.01,0.4602,,Vegetables
store_b,1008,2024-06-01,2024-06-03,1.4,2.87,0.4851,,Fruits
store_b,1009,2024-08-20,2024-08-21,0.69,1.16,0.4005,,Fruits
store_a,1022,2024-11-14,2024-11-15,1.72,3.28,0.4466,,Fruits
store_a,1029,2024-09-13,2024-09-14,0.57,1.1,0.4726,,Vegetables
store_b,1013,2024-11-20,2024-11-21,0.34,0.7,0.4724,,Fruits
store_a,1018,2024-03-11,2024-03-12,2.6,4.56,0.4211,,Fruits
store_b,1001,2024-07-02,2024-07-03,0.9,1.45,0.4052,,Fruits
store_b,1004,2024-05-22,2024-05-23,1.47,2.91,0.4787,,Fruits
store_a,1038,2024-01-04,2024-01-05,0.82,1.59,0.4735,,Vegetables
store_b,1008,2024-11-02,2024-11-04,1.37,2.85,0.4921,,Fruits
store_b,1005,2024-01-09,2024-01-10,1.06,2.53,0.5589,,Fruits
store_a,1017,2024-07-25,2024-07-26,1.34,2.55,0.436,,Fruits
store_a,1037,2024-08-06,2024-08-07,0.24,0.5,0.498,,Vegetables
store_b,1009,2024-07-06,2024-07-08,0.71,1.2,0.4291,,Fruits
store_a,1002,2024-05-08,2024-05-09,1.23,2.03,0.3852,,Fruits
store_b,1004,2024-09-23,2024-09-24,1.47,2.99,0.5122,,Fruits
store_b,1099,2024-08-28,2024-08-29,1.47,2.5,0.4175,,Fruits
store_a,1027,2024-07-20,2024-07-22,0.89,1.64,0.4872,,Vegetables
store_b,1002,2024-07-13,2024-07-15,1.21,1.98,0.3924,,Fruits
store_a,1029,2024-03-18,2024-03-19,,1.1,,,Vegetables
store_a,1050,2024-05-16,2024-05-17,1.25,2.26,0.4699,,Vegetables
store_b,1003,2024-05-18,2024-05-20,0.99,1.81,0.4488,,Fruits
store_a,1037,2024-08-21,2024-08-22,0.25,0.49,0.4768,,vegetables
store_b,1011,2024-12-27,2024-12-28,2.14,3.87,0.4347,,Fruits
store_b,1018,2024-09-23,2024-09-24,2.59,4.36,0.462,,Fruits
store_b,1025,2024-10-19,2024-10-21,2.02,3.73,0.4882,,Fruits
store_b,1002,2024-09-28,2024-09-30,1.21,2.02,0.3984,,FRUITS
store_a,1047,2024-02-05,2024-02-06,0.77,1.4,0.4762,,Vegetables
store_a,1044,2024-03-01,2024-03-02,0.57,0.99,0.4457,,Vegetables
store_a,1026,2024-02-07,2024-02-08,0.45,0.9,0.5137,,Vegetables
store_a,1024,2024-03-13,2024-03-14,1.29,2.44,0.4563,,Fruits
store_a,1021,2024-08-05,2024-08-06,0.63,1.16,0.4748,,Fruits
store_a,1031,2024-01-24,2024-01-25,0.76,1.52,0.5019,,Vegetables
store_a,1015,2024-09-20,2024-09-21,1.17,2.22,0.491,,Fruits
store_a,1039,2024-07-01,2024-07-02,0.94,1.8,0.4498,,Vegetables
store_a,1037,2024-01-05,2024-01-06,0.26,0.5,0.4948,new,Vegetables
store_a,1043,2024-02-22,2024-02-23,0.64,1.2,0.4573,,Vegetables
store_a,1031,2024-03-18,2024-03-19,0.72,1.5,0.509,,Vegetables
store_a,1048,2024-01-15,2024-01-16,0.49,0.99,0.4838,,Vegetables
store_b,1015,2024-02-27,2024-02-28,1.17,2.24,0.4593,,Fruits
store_b,1028,2024-12-07,2024-12-09,0.3,0.61,0.495,,Vegetables
store_a,1009,2024-06-28,2024-06-29,0.67,1.16,0.4264,,Fruits
store_b,1025,2024-07-18,2024-07-19,1.98,3.78,0.4802,,Fruits
store_a,1005,2024-01-27,2024-01-29,1.09,2.42,0.5318,,Fruits
store_a,1014,2024-04-17,2024-04-18,0.86,1.56,0.4516,,Fruits
store_b,1019,2024-02-03,2024-02-05,0.99,1.94,0.4648,,Fruits
store_a,1044,2024-08-10,2024-08-12,0.58,1.01,0.4488,,Vegetables
store_a,1035,2024-12-30,2024-12-31,0.68,1.31,0.4948,,Vegetables
store_a,1044,2024-06-01,2024-06-03,0.54,0.97,0.4542,,vegetables
store_a,1039,2024-04-20,2024-04-22,0.93,1.75,0.4544,,Vegetables
store_b,1021,2024-10-11,2024-10-12,0.63,1.18,0.4711,,Fruits
store_a,1003,2024-07-10,2024-07-11,,1.77,,,Fruits
store_a,1007,2024-12-04,2024-12-05,1.31,2.46,0.48,,Fruits
store_a,1033,2024-06-01,2024-06-03,,1.98,,,Vegetables
store_a,1016,2024-01-11,2024-01-12,0.77,1.46,0.4935,,Fruits
store_a,1022,2024-10-07,2024-10-08,1.75,3.3,0.4351,,Fruits
store_a,1040,2024-11-26,2024-11-27,0.67,1.25,0.4737,,Vegetables
store_a,1019,2024-06-27,2024-06-28,1.03,1.88,0.474,,Fruits
store_a,1049,2024-03-14,2024-03-15,0.47,0.87,0.4792,,Vegetables
store_a,1037,2024-12-21,2024-12-23,0.25,0.5,0.5001,,Vegetables
store_a,1043,2024-04-30,2024-05-01,0.67,1.21,0.4758,,Vegetables
store_b,1009,2024-04-09,2024-04-10,0.67,1.18,0.3933,,Fruits
store_b,1008,2024-10-19,2024-10-21,1.34,2.72,0.5131,,Fruits
store_a,1026,2024-08-23,2024-08-24,0.44,0.87,0.4707,,Vegetables
store_b,1025,2024-08-01,2024-08-02,2.01,3.78,0.4643,,Fruits
store_a,1033,2024-06-17,2024-06-18,0.97,1.94,0.5013,,Vegetables
store_b,1026,2024-11-06,2024-11-07,0.47,0.88,0.5129,,Vegetables
store_a,1017,2024-10-18,2024-10-19,1.39,2.48,0.4366,,Fruits
store_a,1044,2024-10-03,2024-10-04,0.54,1.0,0.4311,,Vegetables
store_b,1023,2024-08-13,2024-08-14,1.97,3.5,0.4498,,Fruits
store_a,1048,2024-02-28,2024-02-29,0.52,0.99,0.5123,,Vegetables
store_a,1005,2024-08-14,2024-08-15,1.06,2.53,0.5503,,Fruits
store_a,1026,2024-07-17,2024-07-18,,0.91,,,Vegetables
store_a,1044,2024-10-17,2024-10-18,0.57,0.97,0.452,,Vegetables
store_b,1010,2024-10-10,2024-10-11,1.85,3.46,0.4685,,Fruits
store_a,1015,2024-05-07,2024-05-08,1.15,2.31,0.4681,,Fruits
 store_a,1032,2024-10-22,2024-10-23,0.52,0.96,0.4951,,Vegetables
store_b,1001,2024-12-11,2024-12-12,0.9,1.49,0.4166,,Fruits
store_a,1029,2024-12-20,2024-12-21,0.53,1.11,0.4922,,Vegetables
store_b,1019,2024-04-27,2024-04-29,1.02,1.87,0.4555,,Fruits
store_b,1010,2024-12-13,2024-12-14,1.79,3.45,0.4747,,Fruits
store_b,1004,2024-05-23,2024-05-24,,2.99,,,Fruits
store_a,1041,2024-04-09,2024-04-10,,4.54,,new,Vegetables
store_a,1021,2024-07-17,2024-07-18,0.67,1.2,0.4555,,Fruits
store_a,1013,2024-01-18,2024-01-19,,0.71,,,Fruits
store_a,1031,2024-03-15,2024-03-16,,1.47,,,Vegetables
store_b,1028,2024-04-26,2024-04-27,0.29,0.6,0.4866,,Vegetables
store_a,1010,2024-09-02,2024-09-03,1.74,3.46,0.491,,Fruits
store_b,1027,2024-12-18,2024-12-19,,1.66,,,Vegetables
store_a,1036,2024-09-19,2024-09-20,0.53,0.97,0.424,,Vegetables
store_a,1013,2024-05-08,2024-05-09,0.34,0.69,0.5028,,Fruits
store_b,1024,2024-03-15,2024-03-16,1.31,2.43,0.4593,,Fruits
store_b,1006,2024-10-05,2024-10-07,0.77,1.32,0.3746,,FRUITS
store_a,1041,2024-08-13,2024-08-14,2.38,4.48,0.425,,Vegetables
store_a,1009,2024-10-31,2024-11-01,0.67,1.23,0.4235,,Fruits
store_a,1031,2024-02-14,2024-02-15,0.73,1.49,0.5021,,Vegetables
store_b,1004,2024-08-07,2024-08-08,1.57,2.96,0.5133,price_change,Fruits
store_b,1006,2024-08-15,2024-08-16,0.82,1.27,0.3965,new,Fruits
store_b,1012,2024-08-22,2024-08-23,1.66,2.99,0.4714,,Fruits
store_a,1008,2024-03-13,2024-03-14,1.35,2.77,0.5165,,Fruits
store_a,1038,2024-10-14,2024-10-15,0.79,1.56,0.5134,,Vegetables
store_b,1024,2024-02-07,2024-02-08,1.31,2.52,0.4845,,Fruits
store_b,1004,2024-06-22,2024-06-24,1.56,3.04,0.5151,,Fruits
store_a,1049,2024-11-11,2024-11-12,0.44,0.89,0.4713,,Vegetables
store_a,1050,2024-12-27,2024-12-28,1.23,2.36,0.4882,,VEGETABLES
store_a,1034,2024-09-18,2024-09-19,,1.55,,,Vegetables
store_a,1019,2024-02-26,2024-02-27,0.97,1.85,0.4928,,Fruits
store_b,1029,2024-05-15,2024-05-16,0.53,1.11,0.4883,,Vegetables
store_a,1040,2024-02-01,2024-02-02,0.69,1.31,0.4637,,Vegetables
 store_a,1012,2024-09-05,2024-09-06,1.67,2.96,0.4706,,Fruits
store_b,1015,2024-06-12,2024-06-13,1.2,2.35,0.4884,,Fruits
store_b,1024,2024-02-16,2024-02-17,,2.52,,,Fruits
store_a,1046,2024-07-24,2024-07-25,0.61,1.07,0.4438,,Vegetables
store_a,1028,2024-11-09,2024-11-11,0.3,0.59,0.5086,,Vegetables
store_a,1046,2024-12-13,2024-12-14,0.57,1.11,0.4666,,Vegetables
store_a,1014,2024-10-03,2024-10-04,0.92,1.58,0.4146,,Fruits,
store_b,1007,2024-08-05,2024-08-06,1.32,2.48,0.499,,Fruits
store_b,1019,2024-09-24,2024-09-25,1.01,1.87,0.4901,,Fruits
store_b,1099,2024-08-16,2024-08-17,1.37,2.53,0.4555,,Fruits
store_a,1016,2024-11-04,2024-11-05,0.76,1.49,0.5008,,Fruits
store_b,1012,2024-05-07,2024-05-08,1.68,2.95,0.4772,,Fruits
store_a,1025,2024-05-24,2024-05-25,2.06,3.76,0.476,,Fruits
store_b,1003,2024-03-15,2024-03-16,0.96,1.83,0.4902,,Fruits
store_a,1022,2024-02-23,2024-02-24,1.88,3.36,0.4728,,Fruits
store_a,1004,2024-05-07,2024-05-08,1.49,2.98,0.5001,,Fruits
store_b,1099,2024-12-20,2024-12-21,1.35,2.49,0.4514,,Fruits
store_a,1033,2024-10-17,2024-10-18,1.01,2.03,0.4969,,Vegetables
store_a,1025,2024-05-27,2024-05-28,1.99,3.7,0.4914,,Fruits
store_b,1014,2024-08-01,2024-08-02,0.93,1.55,0.4369,,Fruits
store_a,1033,2024-06-03,2024-06-04,1.05,2.01,0.508,,Vegetables
store_a,1023,2024-09-17,2024-09-18,,3.55,,,Fruits
store_b,1014,2024-07-27,2024-07-29,0.86,1.62,0.4508,,Fruits
store_a,1036,2024-02-20,2024-02-21,0.57,0.99,0.4226,,Vegetables
store_a,1034,2024-05-10,2024-05-11,0.81,1.59,0.4703,,VEGETABLES
store_b,1006,2024-03-27,2024-03-28,0.81,1.29,0.3715,,Fruits
store_a,1099,2024-03-04,2024-03-05,1.33,2.54,0.4531,,Fruits
store_b,1014,2024-06-08,2024-06-10,0.9,1.6,0.4325,,Fruits
store_b,1027,2024-09-20,2024-09-21,0.86,1.66,0.4542,,Vegetables
store_a,1029,2024-05-10,2024-05-11,,1.07,,,Vegetables
store_a,1019,2024-08-09,2024-08-10,0.99,1.93,0.4659,,Fruits
store_a,1017,2024-12-21,2024-12-23,,2.47,,,Fruits
store_a,1020,2024-12-18,2024-12-19,1.57,2.86,0.4845,,FRUITS
store_a,1012,2024-10-01,2024-10-02,1.65,2.94,0.4697,,Fruits
store_b,1018,2024-02-17,2024-02-19,2.49,4.58,0.454,price_change,Fruits
store_a,1006,2024-07-30,2024-07-31,0.81,1.27,0.3824,,Fruits
store_a,1044,2024-06-13,2024-06-14,0.57,1.0,0.4411,,Vegetables
store_b,1003,2024-12-06,2024-12-07,,1.77,,,Fruits
store_b,1025,2024-05-16,2024-05-17,1.95,3.83,0.4641,,Fruits
store_b,1004,2024-11-16,2024-11-18,,2.92,,,Fruits
store_a,1013,2024-11-23,2024-11-25,0.36,0.68,0.5075,,Fruits
store_a,1020,2024-09-11,2024-09-12,1.52,2.84,0.4731,,Fruits
store_a,1015,2024-02-10,2024-02-12,1.19,2.24,0.4769,,Fruits
store_a,1044,2024-06-28,2024-06-29,0.55,0.98,0.4378,,Vegetables
store_a,1038,2024-09-20,2024-09-21,0.78,1.55,0.5094,,Vegetables
store_a,1014,2024-02-27,2024-02-28,0.92,1.57,0.4465,,Fruits
store_b,1024,2024-05-01,2024-05-02,1.27,2.45,0.4925,,Fruits
store_a,1012,2024-12-25,2024-12-26,1.59,3.04,0.4534,,Fruits
store_a,1005,2024-12-16,2024-12-17,1.07,2.42,0.5815,,Fruits
store_a,1041,2024-02-26,2024-02-27,2.49,4.44,0.4455,,Vegetables
store_a,1004,2024-07-08,2024-07-09,,2.99,,,Fruits
store_a,1033,2024-11-20,2024-11-21,0.96,1.96,0.5104,,Vegetables
store_b,1025,2024-06-25,2024-06-26,2.03,3.83,0.4627,,Fruits
 store_b,1028,2024-05-23,2024-05-24,0.31,0.61,0.4696,,Vegetables
store_b,1028,2024-11-05,2024-11-06,0.31,0.6,0.4824,,Vegetables
store_b,1028,2024-09-20,2024-09-21,0.3,0.58,0.5118,,Vegetables
store_a,1025,2024-11-28,2024-11-29,1.96,3.7,0.4668,,Fruits
store_a,1027,2024-05-30,2024-05-31,0.86,1.69,0.4783,,Vegetables
store_b,1022,2024-03-26,2024-03-27,1.72,3.32,0.4427,,Fruits
store_a,1046,2024-09-12,2024-09-13,0.59,1.11,0.4334,,Vegetables
store_b,1014,2024-03-01,2024-03-02,0.89,1.59,0.4528,,Fruits
store_a,1004,2024-05-03,2024-05-04,1.49,3.01,0.4789,,Fruits
store_b,1009,2024-05-14,2024-05-15,0.68,1.17,0.3967,,Fruits
 store_a,1032,2024-03-11,2024-03-12,0.52,0.99,0.5033,,Vegetables
store_a,1015,2024-04-17,2024-04-18,1.15,2.26,0.4995,,Fruits
store_b,1029,2024-08-29,2024-08-30,0.55,1.12,0.4881,,Vegetables
store_b,1020,2024-04-12,2024-04-13,1.51,2.77,0.4756,,Fruits
store_a,1025,2024-11-30,2024-12-02,2.01,3.72,0.4796,,Fruits
store_a,1014,2024-06-08,2024-06-10,0.89,1.59,0.4557,,Fruits
store_b ,1025,2024-03-12,2024-03-13,1.94,3.86,0.4602,,Fruits
store_a,1033,2024-11-16,2024-11-18,1.0,1.94,0.5219,,Vegetables
store_a,1008,2024-05-27,2024-05-28,1.4,2.75,0.493,,Fruits
store_a,1028,2024-12-07,2024-12-09,0.3,0.58,0.4685,,Vegetables
store_b,1020,2024-01-05,2024-01-06,1.45,2.82,0.463,,Fruits
store_a,1017,2024-11-12,2024-11-13,1.39,2.56,0.4525,price_change,Fruits
store_b,1025,2024-03-15,2024-03-16,2.07,3.83,0.4599,,Fruits
store_a,1018,2024-05-22,2024-05-23,2.39,4.41,0.4477,,Fruits
store_b,1011,2024-06-17,2024-06-18,2.17,3.99,0.4282,,Fruits
store_a,1044,2024-12-16,2024-12-17,0.57,0.98,0.4487,,Vegetables
store_b,1003,2024-11-26,2024-11-27,0.92,1.75,0.4647,,FRUITS
store_b,1020,2024-01-30,2024-01-31,1.51,2.85,0.4592,,Fruits
store_a,1012,2024-01-16,2024-01-17,1.62,2.96,0.4814,,Fruits
